item_name,region,impression,clk
College board-Parents Portal-keep,Michigan,19824,78
College board-Parents Portal-keep,Minnesota,8365,39
College board-Parents Portal-keep,Mississippi,3220,11
College board-Parents Portal-keep,Missouri,23171,105
College board-Parents Portal-keep,Montana,1189,4
College board-Parents Portal-keep,Nebraska,6550,40
College board-Parents Portal-keep,Nevada,8216,40
College board-Parents Portal-keep,New Hampshire,2103,12
College board-Parents Portal-keep,New Jersey,24691,114
College board-Parents Portal-keep,New Mexico,3810,28
College board-Parents Portal-keep,New York,45491,231
College board-Parents Portal-keep,North Carolina,26416,130
College board-Parents Portal-keep,North Dakota,3569,14
College board-Parents Portal-keep,Ohio,33551,181
College board-Parents Portal-keep,Oklahoma,13133,95
College board-Parents Portal-keep,Oregon,6871,44
College board-Parents Portal-keep,Pennsylvania,34873,174
College board-Parents Portal-keep,Rhode Island,1453,6
College board-Parents Portal-keep,South Carolina,11631,62
College board-Parents Portal-keep,South Dakota,655,0
College board-Parents Portal-keep,Tennessee,17783,85
College board-Parents Portal-keep,Texas,49861,279
College board-Parents Portal-keep,Utah,5700,50
College board-Parents Portal-keep,Vermont,668,3
College board-Parents Portal-keep,Virginia,16916,76
College board-Parents Portal-keep,Washington,19074,85
College board-Parents Portal-keep,West Virginia,6475,32
College board-Parents Portal-keep,Wisconsin,11715,55
College board-Parents Portal-keep,Wyoming,3136,17
College board-Parents Portal-prep,0,1150,4
College board-Parents Portal-prep,Alabama,10425,55
College board-Parents Portal-prep,Alaska,813,2
College board-Parents Portal-prep,Arizona,15137,84
College board-Parents Portal-prep,Arkansas,5898,37
College board-Parents Portal-prep,California,20403,112
College board-Parents Portal-prep,Colorado,16049,99
College board-Parents Portal-prep,Connecticut,5641,23
College board-Parents Portal-prep,Delaware,2297,12
College board-Parents Portal-prep,District of Columbia,4626,27
College board-Parents Portal-prep,Florida,15894,64
College board-Parents Portal-prep,Georgia,30616,84
College board-Parents Portal-prep,Hawaii,2770,16
College board-Parents Portal-prep,Idaho,4560,20
College board-Parents Portal-prep,Illinois,15553,56
College board-Parents Portal-prep,Indiana,13911,70
College board-Parents Portal-prep,Iowa,6981,63
College board-Parents Portal-prep,Kansas,6182,35
College board-Parents Portal-prep,Kentucky,11889,55
College board-Parents Portal-prep,Louisiana,8450,57
College board-Parents Portal-prep,Maine,3593,12
College board-Parents Portal-prep,Maryland,24695,133
College board-Parents Portal-prep,Massachusetts,8349,44
College board-Parents Portal-prep,Michigan,27420,176
College board-Parents Portal-prep,Minnesota,9910,37
College board-Parents Portal-prep,Mississippi,4243,31
College board-Parents Portal-prep,Missouri,11764,65
College board-Parents Portal-prep,Montana,1671,5
College board-Parents Portal-prep,Nebraska,8964,46
College board-Parents Portal-prep,Nevada,10581,47
College board-Parents Portal-prep,New Hampshire,3098,17
College board-Parents Portal-prep,New Jersey,32587,151
College board-Parents Portal-prep,New Mexico,5128,27
College board-Parents Portal-prep,New York,62774,333
College board-Parents Portal-prep,North Carolina,35884,187
College board-Parents Portal-prep,North Dakota,4943,23
College board-Parents Portal-prep,Ohio,45754,240
College board-Parents Portal-prep,Oklahoma,16678,108
College board-Parents Portal-prep,Oregon,9694,66
College board-Parents Portal-prep,Pennsylvania,46204,233
College board-Parents Portal-prep,Rhode Island,2080,9
College board-Parents Portal-prep,South Carolina,15740,82
College board-Parents Portal-prep,South Dakota,889,3
College board-Parents Portal-prep,Tennessee,7283,41
College board-Parents Portal-prep,Texas,27640,142
College board-Parents Portal-prep,Utah,7586,43
College board-Parents Portal-prep,Vermont,899,8
College board-Parents Portal-prep,Virginia,23082,87
College board-Parents Portal-prep,Washington,20649,97
College board-Parents Portal-prep,West Virginia,9066,52
College board-Parents Portal-prep,Wisconsin,12111,53
College board-Parents Portal-prep,Wyoming,1862,8
